"","State","City","County","Coastal","Region","Census_2010","Census_Estimates_Base","e2010","e2011","e2012","e2013","e2014","e2015","e2016","e2017","e2018","e2019","Urbanized_Cluster","Urbanized_Area"
"112","California","Inglewood","Los Angeles County",TRUE,"Pacific","109,673","109,649","109,658","110,501","110,866","110,954","110,840","110,693","110,271","109,907","109,038","108,151",TRUE,TRUE
"113","California","Irvine","Orange County",TRUE,"Pacific","212,375","212,107","213,450","220,303","229,063","236,057","247,136","255,382","265,345","276,000","281,732","287,401",TRUE,TRUE
"114","Florida","Jacksonville","Duval County",TRUE,"Atlantic","821,784","821,750","823,114","829,609","837,013","842,735","852,494","865,836","880,520","892,025","902,437","911,507",TRUE,TRUE
"115","North Carolina","Jacksonville","Onslow County",TRUE,"Atlantic","70,145","70,327","78,089","75,194","76,365","75,681","74,217","74,306","72,745","72,800","72,775","72,436",TRUE,TRUE
"116","New Jersey","Jersey City","Hudson County",TRUE,"Atlantic","247,597","247,608","248,324","252,877","256,072","257,119","258,632","260,171","260,427","263,292","263,851","262,075",TRUE,TRUE
"117","Florida","Jupiter","Palm Beach County",TRUE,"Atlantic","55,156","55,312","55,468","56,214","57,203","58,501","60,772","62,810","64,066","64,888","65,377","65,791",TRUE,TRUE
"118","Louisiana","Kenner","Jefferson Parish",TRUE,"Gulf of Mexico","66,702","66,631","66,635","66,814","66,781","66,836","66,776","66,896","67,083","66,933","66,584","66,340",TRUE,TRUE
"119","Wisconsin","Kenosha","Kenosha County",TRUE,"Great Lakes","99,218","99,279","99,397","99,560","99,859","99,704","99,728","99,479","99,388","99,785","99,908","99,944",TRUE,TRUE
"120","Washington","Kent","King County",TRUE,"Pacific","92,411","118,620","119,067","122,165","124,739","126,118","127,727","129,241","130,508","131,697","131,734","132,319",TRUE,TRUE
"121","Washington","Kirkland","King County",TRUE,"Pacific","48,787","80,585","80,866","82,036","83,358","84,455","85,971","87,312","87,990","89,010","89,909","93,010",TRUE,TRUE
"122","California","La Habra","Orange County",TRUE,"Pacific","60,239","59,016","59,108","59,658","59,970","60,224","60,421","60,473","60,292","60,898","60,778","60,513",TRUE,TRUE
"123","California","La Mesa","San Diego County",TRUE,"Pacific","57,065","57,016","57,149","57,644","58,099","58,556","58,855","59,697","59,751","59,722","59,389","59,249",TRUE,TRUE
"124","California","Laguna Niguel","Orange County",TRUE,"Pacific","62,979","62,989","63,119","63,774","64,134","64,381","65,079","65,396","65,145","66,011","66,079","66,385",TRUE,TRUE
"125","California","Lake Forest","Orange County",TRUE,"Pacific","77,264","77,445","77,552","78,299","78,727","79,112","79,678","81,964","83,019","83,878","85,381","85,531",TRUE,TRUE
"126","California","Lakewood","Los Angeles County",TRUE,"Pacific","80,048","80,086","80,079","80,413","80,672","80,883","80,927","80,951","80,895","80,510","79,907","79,307",TRUE,TRUE
"127","Ohio","Lakewood","Cuyahoga County",TRUE,"Great Lakes","52,131","52,131","52,026","51,662","51,400","51,257","51,088","50,811","50,528","50,211","50,012","49,678",TRUE,TRUE
"128","Washington","Lakewood","Pierce County",TRUE,"Pacific","58,163","57,532","57,600","57,945","58,110","58,144","58,580","58,885","59,747","60,316","60,511","61,037",TRUE,TRUE
"129","California","Lancaster","Los Angeles County",TRUE,"Pacific","156,633","156,649","156,824","158,078","158,253","159,055","159,634","159,813","159,633","159,434","158,622","157,601",TRUE,TRUE
"130","Florida","Largo","Pinellas County",TRUE,"Gulf of Mexico","77,648","79,439","79,372","79,480","79,738","80,422","80,852","81,903","84,088","84,686","84,937","84,948",TRUE,TRUE
"131","Florida","Lauderhill","Broward County",TRUE,"Atlantic","66,887","66,936","67,084","68,246","69,012","69,531","70,110","70,901","71,474","71,915","71,924","71,868",TRUE,TRUE
"132","Massachusetts","Lawrence","Essex County",TRUE,"Atlantic","76,377","76,343","76,551","77,260","77,910","78,382","79,182","79,699","79,818","80,003","80,112","80,028",TRUE,TRUE
"133","Texas","League City","Galveston County, Harris County",TRUE,"Gulf of Mexico","83,560","83,584","84,096","86,278","88,242","90,790","94,121","97,860","101,669","104,442","106,005","107,536",TRUE,TRUE
"134","California","Livermore","Alameda County",TRUE,"Pacific","80,968","81,426","81,599","82,589","83,831","85,448","87,017","88,248","89,572","90,137","90,253","90,189",TRUE,TRUE
"135","Michigan","Livonia","Wayne County",TRUE,"Great Lakes","96,942","96,857","96,627","96,142","95,921","95,239","95,229","94,843","94,507","94,237","94,019","93,665",TRUE,TRUE
"136","California","Long Beach","Los Angeles County",TRUE,"Pacific","462,257","462,221","462,431","464,512","466,873","468,000","469,109","470,128","468,719","466,646","465,865","462,628",TRUE,TRUE
"137","Ohio","Lorain","Lorain County",TRUE,"Great Lakes","64,097","64,099","64,076","63,940","63,756","63,735","63,773","63,662","63,729","63,774","63,984","63,855",TRUE,TRUE
"138","California","Los Angeles","Los Angeles County",TRUE,"Pacific","3,792,621","3,793,139","3,795,512","3,820,876","3,851,202","3,881,622","3,909,901","3,938,568","3,963,226","3,975,788","3,977,596","3,979,576",TRUE,TRUE
"139","Massachusetts","Lynn","Essex County",TRUE,"Atlantic","90,329","90,324","90,532","90,709","91,437","92,025","92,565","93,057","93,185","93,915","94,336","94,299",TRUE,TRUE
"140","California","Lynwood","Los Angeles County",TRUE,"Pacific","69,772","69,763","69,595","69,661","70,576","71,146","71,193","71,397","70,979","70,685","70,285","69,887",TRUE,TRUE
"141","Florida","Margate","Broward County",TRUE,"Atlantic","53,284","53,120","53,242","54,190","54,820","55,256","55,664","56,741","57,832","58,200","58,495","58,796",TRUE,TRUE
"142","Washington","Marysville","Snohomish County",TRUE,"Pacific","60,020","60,013","60,193","61,243","62,297","63,135","64,919","66,558","67,586","68,897","69,606","70,298",TRUE,TRUE
"143","Florida","Melbourne","Brevard County",TRUE,"Atlantic","76,068","76,217","76,363","76,537","76,854","77,393","78,276","79,323","80,656","81,822","82,603","83,029",TRUE,TRUE
"144","Connecticut","Meriden","New Haven County",TRUE,"Atlantic","60,868","60,825","60,832","60,699","60,672","60,491","60,384","60,063","59,708","59,646","59,566","59,395",TRUE,TRUE
"145","Massachusetts","Methuen Town","Essex County",TRUE,"Atlantic","47,255","47,328","47,445","47,798","48,129","48,706","49,384","49,797","49,953","50,308","50,565","50,706",TRUE,TRUE
"146","Florida","Miami","Miami-Dade County",TRUE,"Atlantic","399,457","399,481","400,779","406,593","411,149","415,661","425,110","434,738","449,149","456,617","462,819","467,963",TRUE,TRUE
