State,City,County,Coastal,Region,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
Michigan,Troy,Oakland County,FALSE,N/A,80980,80972,81020,81643,82271,83011,83407,83500,84095,84194,84272
New Jersey,Trenton,Mercer County,FALSE,N/A,84913,84964,85010,84853,84642,84524,84067,83566,83387,83593,83974
California,Chino Hills,San Bernardino County,FALSE,N/A,74799,74799,74973,75650,76073,76333,76571,77904,78542,80207,83447
California,Mountain View,Santa Clara County,TRUE,Pacific,74066,73997,74227,75102,76514,77978,79185,80378,80852,81197,83377
California,Merced,Merced County,FALSE,N/A,78958,78957,79134,79720,80265,80758,81198,81878,82353,82677,83316
Washington,Kennewick,Benton County,FALSE,N/A,73917,73995,74448,75586,75941,76598,77366,78772,80153,81732,82943
Arizona,Goodyear,Maricopa County,FALSE,N/A,65275,65254,65500,66587,67823,70390,72347,74817,77413,79944,82835
Florida,Melbourne,Brevard County,TRUE,Atlantic,76068,76247,76395,76560,76884,77426,78312,79386,80746,81916,82826
California,Buena Park,Orange County,TRUE,Pacific,80530,80619,80796,81562,82077,82766,82694,82863,83113,82742,82421
Iowa,Sioux City,"Woodbury County, Plymouth County",FALSE,N/A,82684,82693,82858,83086,82686,82610,82546,82665,82670,82163,82396
California,Pleasanton,Alameda County,TRUE,Pacific,70285,70282,70386,71142,72119,74060,77504,79277,82314,82744,82372
Oregon,Medford,Jackson County,FALSE,N/A,74907,74943,74993,75563,76104,76759,77723,78944,80111,81136,82347
Florida,Fort Myers,Lee County,TRUE,Gulf of Mexico,62298,62316,62513,63826,65519,67820,70470,73466,76736,79975,82254
Virginia,Lynchburg,N/A,FALSE,N/A,75568,75533,75551,76582,77276,77950,78155,79271,80038,81065,82126
Washington,Auburn,King County,TRUE,Pacific,70180,70164,70423,71645,73390,74848,76139,77409,78660,81275,81905
Michigan,Westland,Wayne County,FALSE,N/A,84094,84153,83964,83515,83336,82664,82638,82312,82089,81891,81720
Texas,Longview,"Gregg County, Harrison County",FALSE,N/A,80455,80423,80571,81041,81233,81319,81351,81899,81619,81303,81647
Illinois,Cicero,Cook County,FALSE,N/A,83891,84241,84266,84439,84586,84633,84438,83935,83275,82448,81597
California,Manteca,San Joaquin County,FALSE,N/A,67096,67286,67674,69188,70846,71740,73121,74998,76716,78952,81592
Massachusetts,Somerville,Middlesex County,FALSE,N/A,75754,75651,75828,76653,77569,78526,78939,79662,80902,81159,81562
Rhode Island,Cranston,Providence County,TRUE,Atlantic,80387,80559,80689,80807,80996,80972,81189,81248,81188,81034,81274
Michigan,Farmington Hills,Oakland County,FALSE,N/A,79740,79722,79759,80336,80920,81492,81749,81538,81561,81429,81093
Arkansas,Springdale,"Washington County, Benton County",FALSE,N/A,69797,70808,71139,72459,73724,75136,76264,77557,78735,79845,81029
Tennessee,Franklin,Williamson County,FALSE,N/A,62487,62569,62819,64321,66272,68845,70533,72501,74635,78180,80914
Florida,Deerfield Beach,Broward County,TRUE,Atlantic,75018,75021,75191,76513,77414,78028,78598,79353,79986,80512,80863
Rhode Island,Warwick,Kent County,TRUE,Atlantic,82672,82674,82627,82024,81683,81535,81699,81128,80977,80797,80847
Minnesota,Brooklyn Park,Hennepin County,FALSE,N/A,75781,75776,75964,76877,77907,78476,78827,79279,79899,80337,80610
California,Milpitas,Santa Clara County,TRUE,Pacific,66790,66820,66730,67126,68880,69975,73608,77537,77878,77906,80430
Massachusetts,Lawrence,Essex County,TRUE,Atlantic,76377,76348,76558,77263,77922,78401,79208,79732,79870,80062,80376
California,Lakewood,Los Angeles County,TRUE,Pacific,80048,80060,80057,80400,80682,80911,80977,81028,80997,80611,80140
California,Tustin,Orange County,TRUE,Pacific,75540,75317,75475,76233,77600,78166,80203,80174,80357,80229,79795
Texas,Pharr,Hidalgo County,FALSE,N/A,70400,70467,70806,72215,73469,74375,75636,76751,77846,79198,79707
Minnesota,Plymouth,Hennepin County,FALSE,N/A,70576,70589,70713,71696,73103,74101,75188,76058,77377,78159,79450
California,Napa,Napa County,FALSE,N/A,76915,77097,77197,77698,78201,78777,79449,79744,79781,79336,79263
California,Perris,Riverside County,FALSE,N/A,68386,68565,69005,70434,71256,72343,73561,74708,76168,77692,79133
California,Folsom,Sacramento County,FALSE,N/A,72203,72196,72161,72594,73107,72857,75039,76026,77088,77882,79022
Ohio,Parma,Cuyahoga County,FALSE,N/A,81601,81589,81453,80954,80622,80454,80166,80048,79646,79148,78751
New York,New Rochelle,Westchester County,TRUE,Atlantic,77062,77098,77220,77686,78324,79270,79355,79431,79446,79031,78742
California,Alameda,Alameda County,TRUE,Pacific,73812,73812,73950,74694,75655,76511,77550,78467,79061,78940,78338
Florida,Boynton Beach,Palm Beach County,TRUE,Atlantic,68217,68213,68332,68822,69974,71237,73097,73950,75826,77639,78050
Louisiana,Lake Charles,Calcasieu Parish,FALSE,N/A,71993,72264,72393,72716,73496,73708,74325,75477,76218,77302,78001
Illinois,Bloomington,McLean County,FALSE,N/A,76610,76701,76824,77275,77991,79245,78881,78393,78343,78145,77962
Colorado,Loveland,Larimer County,FALSE,N/A,66859,66890,67057,69182,70226,71135,72248,74608,76103,76581,77446
Wisconsin,Racine,Racine County,FALSE,N/A,78860,78848,78751,78454,78191,78074,77905,77581,77455,77507,77432
Texas,Flower Mound,"Denton County, Tarrant County",FALSE,N/A,64669,64675,64861,65957,67723,68318,69443,70844,73334,76453,77329
Utah,Layton,Davis County,FALSE,N/A,67311,67500,67783,68452,68879,70962,72353,73931,75489,76484,77303
Pennsylvania,Scranton,Lackawanna County,FALSE,N/A,76089,76087,76085,75927,76027,75838,75449,77160,77264,77282,77182
California,Bellflower,Los Angeles County,TRUE,Pacific,76616,76610,76613,76933,77219,77440,77587,77875,77681,77429,77131
North Carolina,Gastonia,Gaston County,FALSE,N/A,71741,71722,71710,71874,72520,72820,73222,74061,75037,76417,77024
Texas,Baytown,"Harris County, Chambers County",TRUE,Gulf of Mexico,71802,71635,71792,72540,73377,75424,76040,76435,76544,76895,77024
California,Upland,San Bernardino County,FALSE,N/A,73732,73718,73886,74473,74956,75229,75599,76039,76451,76856,77000
Texas,Cedar Park,"Williamson County, Travis County",FALSE,N/A,48937,55117,55778,58849,61521,64843,67223,69612,72602,75606,76999
Arkansas,Jonesboro,Craighead County,FALSE,N/A,67263,67291,67542,68984,70427,71582,72282,73712,74696,75797,76990
Michigan,Kalamazoo,Kalamazoo County,FALSE,N/A,74262,74261,74330,74686,75541,75796,76104,75832,75833,75809,76545
Iowa,Iowa City,Johnson County,FALSE,N/A,67862,67946,68036,69177,70169,71453,72838,73496,74551,75626,76290
Texas,Temple,Bell County,FALSE,N/A,66102,66078,66610,67111,68745,69531,70187,71772,73012,74439,76256
Missouri,St. Joseph,Buchanan County,FALSE,N/A,76780,76786,76661,77193,77327,77221,76995,76566,76562,76282,75959
California,San Ramon,Contra Costa County,TRUE,Pacific,72148,71423,71597,72186,72874,73595,74375,75163,75708,75761,75839
Michigan,Wyoming,Kent County,FALSE,N/A,72125,72117,72132,72722,73506,74306,74984,75289,75654,75997,75820
California,Baldwin Park,Los Angeles County,TRUE,Pacific,75390,75397,75425,75762,76213,76413,76450,76523,76337,76064,75813
Georgia,Warner Robins,"Houston County, Peach County",FALSE,N/A,66588,69066,69513,70986,71990,72727,73342,73461,74412,74809,75797
Indiana,Hammond,Lake County,FALSE,N/A,80830,80824,80718,80186,79650,79027,78479,77603,77104,76418,75795
Pennsylvania,Bethlehem,"Lehigh County, Northampton County",FALSE,N/A,74982,74951,74956,75033,75015,74836,74955,74953,75255,75545,75790
South Dakota,Rapid City,Pennington County,FALSE,N/A,67956,68461,68618,69035,70181,71167,72431,72792,73435,74476,75443
Indiana,Gary,Lake County,FALSE,N/A,80294,80315,80215,79699,79188,78586,78059,77206,76539,75881,75282
Georgia,Albany,Dougherty County,FALSE,N/A,77434,77431,77417,77874,77516,76393,75914,74864,73930,73205,75249
Illinois,Arlington Heights,Cook County,FALSE,N/A,75101,75187,75256,75534,75938,76151,76190,76045,75864,75536,75249
Illinois,Bolingbrook,"Will County, DuPage County",FALSE,N/A,73366,73365,73476,73788,73962,73927,74065,74174,74427,75072,75178
Washington,Pasco,Franklin County,FALSE,N/A,59781,62160,62925,65546,67699,68442,69563,70371,71618,72999,74778
Texas,Missouri City,"Fort Bend County, Harris County",TRUE,Gulf of Mexico,67358,66531,66898,67424,68090,69296,71054,73519,74190,74368,74705
Michigan,Rochester Hills,Oakland County,FALSE,N/A,70995,70985,71037,71687,72453,73118,73367,73633,73852,74528,74696
California,Rancho Cordova,Sacramento County,FALSE,N/A,64776,64805,65070,65971,66733,67740,69420,70666,72183,73418,74585
California,Union City,Alameda County,TRUE,Pacific,69516,69533,69631,70604,71663,72586,73526,74348,75438,75133,74559
Wisconsin,Appleton,"Outagamie County, Calumet County, Winnebago County",FALSE,N/A,72623,72673,72702,72911,73121,73588,74000,74173,74433,74586,74526
Montana,Missoula,Missoula County,FALSE,N/A,66788,66828,66935,67538,68343,68946,69683,70747,72231,73546,74428
Arizona,Buckeye,Maricopa County,FALSE,N/A,50876,50861,51355,52490,54391,56598,59097,61633,64649,68557,74370
South Carolina,Rock Hill,York County,FALSE,N/A,66154,66547,66547,67251,67781,68438,69334,70837,72088,73013,74309
Texas,Georgetown,Williamson County,FALSE,N/A,47400,47483,48008,50298,52466,54807,58937,63463,66934,70505,74180
Utah,South Jordan,Salt Lake County,FALSE,N/A,50418,50473,51307,53316,55878,59185,62501,66100,68595,71027,74149
Illinois,Evanston,Cook County,FALSE,N/A,74486,74483,74589,75145,75741,76013,76034,75671,75302,74667,74106
New Jersey,Camden,Camden County,FALSE,N/A,77344,77043,76982,77218,76883,76462,75856,75371,73974,73893,73973
Arizona,Flagstaff,Coconino County,FALSE,N/A,65870,66023,66106,66082,67931,68110,68633,70015,71227,72121,73964
Florida,Kissimmee,Osceola County,FALSE,N/A,59682,59600,59736,61358,63457,64956,66541,68597,69284,71205,73597
Illinois,Schaumburg,Cook County,FALSE,N/A,74227,74229,74292,74550,74789,74935,74940,74700,74650,74089,73509
California,Apple Valley,San Bernardino County,FALSE,N/A,69135,69146,69309,70030,70405,70741,71193,71809,72332,72940,73508
California,Turlock,Stanislaus County,FALSE,N/A,68549,68621,68760,69164,69650,70200,70812,71713,72511,73205,73504
Michigan,Southfield,Oakland County,FALSE,N/A,71739,71717,71763,72244,72713,73232,73448,73404,73485,73423,73158
Massachusetts,Framingham,Middlesex County,FALSE,N/A,(X),68325,68667,69651,70064,70417,70787,70937,71469,71866,73123
North Dakota,Bismarck,Burleigh County,FALSE,N/A,61272,61301,61564,62722,64697,67035,68915,71282,72435,72960,73112
North Carolina,Jacksonville,Onslow County,TRUE,Atlantic,70145,70169,77929,75017,76188,75503,74034,74104,72530,72545,72896
Wisconsin,Waukesha,Waukesha County,FALSE,N/A,70718,71222,71214,71219,71716,71779,72015,72381,72416,72547,72549
Connecticut,New Britain,Hartford County,FALSE,N/A,73206,73202,73251,73267,73217,73055,73055,73219,72817,72613,72453
California,Pittsburg,Contra Costa County,TRUE,Pacific,63264,63259,63520,64547,65534,66668,68003,69273,70797,71963,72437
Indiana,Lafayette,Tippecanoe County,FALSE,N/A,67140,68862,68922,69908,70161,70975,71012,71153,72024,72274,72168
Maryland,Frederick,Frederick County,FALSE,N/A,65239,65287,65454,65951,66404,66833,68288,69409,69952,71052,72146
Florida,Lauderhill,Broward County,TRUE,Atlantic,66887,66939,67086,68246,69023,69548,70133,70912,71480,71900,72094
Mississippi,Gulfport,Harrison County,TRUE,Gulf of Mexico,67793,67786,67901,68851,69765,70782,71150,71314,71490,71890,71870
Rhode Island,Pawtucket,Providence County,FALSE,N/A,71148,71139,71253,71385,71569,71617,71691,71758,71798,71665,71847
Minnesota,Maple Grove,Hennepin County,FALSE,N/A,61567,61548,61778,63192,64505,65449,66976,68429,69711,70839,71807
California,Redlands,San Bernardino County,FALSE,N/A,68747,68675,68809,69323,69658,69837,70264,70690,71108,71428,71586
Minnesota,Woodbury,Washington County,FALSE,N/A,61961,61965,62252,63553,64462,65519,66624,67462,68526,69575,71306
Illinois,Decatur,Macon County,FALSE,N/A,76122,76131,76105,75918,75451,74964,74163,73287,72550,71892,71290
Florida,Weston,Broward County,TRUE,Atlantic,65333,65419,65589,66839,67708,68349,68950,69699,70333,70890,71210
Texas,Mansfield,"Tarrant county, Ellis County, Johnson County",FALSE,N/A,56368,56415,56855,58115,59493,61072,62494,64624,66217,68850,70981
Texas,North Richland Hills,Tarrant County,FALSE,N/A,63343,63338,63477,64253,65256,67250,68443,69167,69999,70543,70836
Missouri,St. Charles,St. Charles County,FALSE,N/A,65794,66140,66316,66545,66899,68065,68479,69038,69314,70307,70764
Delaware,Wilmington,New Castle County,TRUE,Atlantic,70851,70835,70725,70821,71008,71167,71169,71112,70919,70671,70635
California,Lynwood,Los Angeles County,TRUE,Pacific,69772,69766,69601,69669,70603,71197,71259,71485,71087,70793,70504
Florida,Homestead,Miami-Dade County,TRUE,Atlantic,60512,60752,61040,62842,63787,64897,65951,66911,68835,69955,70477
Ohio,Canton,Stark County,FALSE,N/A,73007,73043,73065,72817,72786,72558,72281,71816,71273,70817,70458
New Jersey,Passaic,Passaic County,FALSE,N/A,69781,69811,69864,70145,69977,70098,70267,70228,70086,70020,69948
California,Walnut Creek,Contra Costa County,TRUE,Pacific,64173,64165,64323,64836,65548,66840,67538,68765,69235,69607,69825
Washington,Marysville,Snohomish County,TRUE,Pacific,60020,60007,60190,61236,62298,63144,64929,66582,67630,68979,69779
Florida,Delray Beach,Palm Beach County,TRUE,Atlantic,60522,60623,60814,61506,62285,64207,65040,66243,67591,68735,69358
California,Davis,Yolo County,FALSE,N/A,65622,65639,65586,65656,65794,66233,66576,67362,67980,68749,69289
Colorado,Broomfield,Broomfield County,FALSE,N/A,55889,55856,56221,57482,58963,60149,61769,64856,66474,68232,69267
California,Camarillo,Ventura County,TRUE,Pacific,65201,65154,65258,65521,65678,65923,66570,67263,67270,67549,69127
Florida,Daytona Beach,Volusia County,TRUE,Atlantic,61005,61575,61612,61697,62178,62941,63544,64953,67085,68103,68866
Wisconsin,Eau Claire,Eau Claire County,FALSE,N/A,65883,66230,66297,66837,67338,67893,67747,67765,68276,68596,68866
Florida,North Port,Sarasota County,TRUE,Gulf of Mexico,57357,57333,57403,57745,58448,59157,60380,62312,64455,66365,68628
South Carolina,Greenville,Greenville County,FALSE,N/A,58409,59149,59283,59665,60030,60488,61363,63454,66964,68268,68563
Indiana,Muncie,Delaware County,FALSE,N/A,70085,70210,70191,70399,69756,69715,69611,69134,69174,68951,68529
New Jersey,Union City,Hudson County,TRUE,Atlantic,66455,66439,66433,67419,67827,68222,68301,68120,68373,68472,68520
Kentucky,Bowling Green,Warren County,FALSE,N/A,58067,59031,59347,59964,60904,62298,62999,64411,65663,67274,68401
Maryland,Gaithersburg,Montgomery County,FALSE,N/A,59933,59903,60189,61442,63044,65688,66540,67115,67636,68031,68289
Maryland,Rockville,Montgomery County,FALSE,N/A,61209,61255,61498,62066,63306,63852,65480,66782,66985,67895,68268
Alabama,Dothan,Houston County,FALSE,N/A,65496,65774,65950,66472,67081,67546,68009,68198,68211,68217,68247
Louisiana,Bossier City,Bossier Parish,FALSE,N/A,61315,61769,62117,63517,65373,66135,67009,68077,68037,68377,68235
California,Lake Elsinore,Riverside County,FALSE,N/A,51821,53312,53629,55081,56052,57730,60149,61996,63861,66120,68183
Illinois,Palatine,Cook County,FALSE,N/A,68557,68551,68613,68889,69184,69407,69465,69350,69010,68555,68053
Minnesota,St. Cloud,"Stearns County, Benton County, Sherburne County",FALSE,N/A,65842,65926,65940,65888,65945,66103,66554,67324,67768,67999,68043
Iowa,Waterloo,Black Hawk County,FALSE,N/A,68406,68408,68403,68454,68437,68606,68584,68526,68028,67743,67798
California,Yorba Linda,Orange County,TRUE,Pacific,64234,64169,64394,65620,66308,66845,67418,67608,68136,67999,67787
California,South San Francisco,San Mateo County,TRUE,Pacific,63632,63660,63740,64492,65639,66308,66895,67297,67286,67212,67733
Washington,Redmond,King County,TRUE,Pacific,54144,54511,54729,55704,56789,57657,59482,60831,62863,64943,67678
Arkansas,Rogers,Benton County,FALSE,N/A,55964,56021,56275,58134,59575,60576,62003,63507,65143,66482,67600
New York,Mount Vernon,Westchester County,TRUE,Atlantic,67292,67303,67388,67738,67839,68135,68224,68288,68234,67915,67593
California,Redondo Beach,Los Angeles County,TRUE,Pacific,66748,66924,66929,67194,67459,67666,67728,67847,67905,67609,67412
California,Rocklin,Placer County,FALSE,N/A,56974,57131,57473,58425,58963,59622,60080,60945,62666,64738,67221
Iowa,Ames,Story County,FALSE,N/A,58965,59037,59100,60432,61426,63046,64765,65662,65881,66285,67154
Texas,Victoria,Victoria County,TRUE,Gulf of Mexico,62592,62624,62671,63115,64256,64992,65946,67221,67446,67112,67015
California,Lodi,San Joaquin County,FALSE,N/A,62134,62134,62268,62754,63073,63166,63637,64231,64509,65629,66995
California,Yuba City,Sutter County,FALSE,N/A,64925,65634,65633,65358,65283,65549,65773,66187,66308,66707,66992
Tennessee,Jackson,Madison County,FALSE,N/A,65211,66847,66815,66702,67034,67464,67072,66739,66738,66781,66903
Tennessee,Johnson City,"Washington County, Carter County, Sullivan County",FALSE,N/A,63152,63380,63522,63917,64346,64693,65097,65472,66114,66193,66778
Wisconsin,Oshkosh,Winnebago County,FALSE,N/A,66083,66205,66188,66216,66715,66811,66672,66571,66517,66568,66729
California,Palo Alto,Santa Clara County,TRUE,Pacific,64403,64395,64545,65358,66116,66655,66901,66832,67406,67219,66666
Louisiana,Kenner,Jefferson Parish,TRUE,Gulf of Mexico,66702,66685,66689,66864,66837,66891,66833,66961,67159,67006,66657
Iowa,West Des Moines,"Polk County, Dallas County, Warren County",FALSE,N/A,56609,56706,56861,57561,58128,59708,61802,63489,64573,65562,66641
Minnesota,Eagan,Dakota County,FALSE,N/A,64206,64150,64203,64484,64881,65411,66008,66229,66356,66641,66527
Arkansas,Conway,Faulkner County,FALSE,N/A,58908,58871,59588,61543,62733,63274,64099,64442,64862,65563,66426
Maine,Portland,Cumberland County,TRUE,Atlantic,66194,66193,66090,66177,66215,66388,66835,66829,66898,66723,66417
Texas,Rowlett,"Dallas County, Rockwell County",FALSE,N/A,56199,56242,56347,57009,57786,58116,58503,60387,62340,63053,66285
California,Laguna Niguel,Orange County,TRUE,Pacific,62979,62985,63117,63777,64153,64415,65129,65466,65234,66105,66266
Georgia,Alpharetta,Fulton County,FALSE,N/A,57551,57383,57693,59138,61580,61946,62704,63338,65403,65699,66255
Arkansas,North Little Rock,Pulaski County,FALSE,N/A,62304,62368,62453,63488,64656,65939,66664,66402,66179,65911,66127
Florida,Tamarac,Broward County,TRUE,Atlantic,60427,60245,60390,61474,62211,62724,63198,63951,64962,65574,66054
Utah,Lehi,Utah County,FALSE,N/A,47407,47776,48177,49680,51391,55099,57011,59033,61675,63654,66037
Minnesota,Lakeville,Dakota County,FALSE,N/A,55954,55999,56162,56705,57471,58705,59991,60819,62039,63748,65877
Kansas,Shawnee,Johnson County,FALSE,N/A,62209,62207,62316,63008,63560,64241,64452,64984,65347,65532,65845
Alabama,Auburn,Lee County,FALSE,N/A,53380,53453,53802,54968,57183,58863,60421,61818,62882,64082,65738
Washington,Sammamish,King County,TRUE,Pacific,45780,57445,57652,58757,60024,61063,62252,63338,63891,65009,65733
California,Madera,Madera County,FALSE,N/A,61416,61416,61511,61818,62311,62695,63196,63672,64193,65068,65706
New York,Schenectady,Schenectady County,FALSE,N/A,66135,66157,66153,66097,66090,65841,65863,65547,65086,65352,65575
Florida,Jupiter,Palm Beach County,TRUE,Atlantic,55156,55310,55468,56211,57206,58510,60788,62828,64085,64888,65524
Texas,Harlingen,Cameron County,TRUE,Gulf of Mexico,64849,64912,65077,65637,65818,65739,65610,65350,65413,65396,65436
Iowa,Ankeny,Polk County,FALSE,N/A,45582,45612,45845,47048,48365,50783,53299,56109,58621,62389,65284
Minnesota,Blaine,"Anoka County, Ramsey County",FALSE,N/A,57186,57179,57408,58188,59441,60513,61408,62396,63251,64393,65212
Florida,Wellington,Palm Beach County,TRUE,Atlantic,56508,56697,56832,57505,58597,60313,61523,62623,64226,64788,65200
New Jersey,Bayonne,Hudson County,TRUE,Atlantic,63024,63015,63052,63946,64263,64754,65397,65317,65351,65347,65083
Ohio,Youngstown,Mahoning County,FALSE,N/A,66982,66952,66881,66552,66053,65473,65145,64704,64358,64590,64958
California,San Clemente,Orange County,TRUE,Pacific,63522,63478,63586,64240,64613,64862,64979,65193,65256,65043,64857
Colorado,Castle Rock,Douglas County,FALSE,N/A,48231,48254,48590,49689,51017,52658,55163,57093,59195,62125,64827
California,Eastvale,Riverside County,FALSE,N/A,(X),53712,54073,55045,55773,56482,57734,59704,61289,63073,64822
California,Santa Cruz,Santa Cruz County,TRUE,Pacific,59946,59943,60581,61433,61963,62749,63197,64119,64452,64860,64725
Wisconsin,Janesville,Rock County,FALSE,N/A,63575,63635,63601,63414,63483,63655,63841,63875,64029,64321,64565
California,Tulare,Tulare County,FALSE,N/A,59278,59296,59438,59802,60651,60951,61508,62003,62651,63610,64475
New Jersey,East Orange,Essex County,TRUE,Atlantic,64270,64169,64152,64331,64179,64237,64285,64448,64425,64367,64457
Texas,Pflugerville,Travis County,FALSE,N/A,46936,48366,48717,50281,52014,53858,54779,57320,59595,63371,64431
Minnesota,Eden Prairie,Hennepin County,FALSE,N/A,60797,60797,60899,61662,62393,62679,63349,63626,64023,64208,64334
Florida,Port Orange,Volusia County,TRUE,Atlantic,56048,56620,56621,56717,56976,57510,58993,60171,61502,63123,64252
Massachusetts,Haverhill,Essex County,TRUE,N/A,60879,60878,61000,61503,61865,62283,62620,62881,63236,63669,64041
Ohio,Lorain,Lorain County,FALSE,N/A,64097,64099,64074,63929,63746,63725,63759,63641,63707,63778,64028
Wyoming,Cheyenne,Laramie County,FALSE,N/A,59466,59547,59772,60159,61420,62104,62259,62904,63483,63587,63957
California,Brentwood,Contra Costa County,TRUE,Pacific,51481,51624,51811,52717,53523,54943,56894,58825,60599,62271,63800
Texas,San Marcos,Hays County,FALSE,N/A,44894,45143,45266,47669,49972,54350,58907,60302,61521,63058,63509
California,Dublin,Alameda County,TRUE,Pacific,46036,46036,45900,46804,48708,52048,54581,57543,59561,60739,63445
Colorado,Grand Junction,Mesa County,FALSE,N/A,58566,59034,58967,59611,59803,59968,59856,60595,61354,62222,63374
Illinois,Skokie,Cook County,FALSE,N/A,64784,64845,64891,65090,65262,65355,65263,64937,64494,63898,63280
Indiana,Noblesville,Hamilton County,FALSE,N/A,51969,52217,52753,54091,55389,56704,57589,58609,60186,61780,63133
Florida,North Miami,Miami-Dade County,TRUE,Atlantic,58786,58598,58784,60014,60566,60954,60909,61085,61101,61042,62996
Oregon,Springfield,Lane County,TRUE,Pacific,59403,59398,59430,59840,59961,60007,60160,60439,61549,62418,62979
Massachusetts,Waltham,Middlesex County,FALSE,N/A,60632,60621,60872,61359,62029,62311,63097,62981,62923,62919,62962
California,Encinitas,San Diego County,TRUE,Pacific,59518,59515,59675,60257,60894,61571,62048,62631,62980,62941,62904
California,Pico Rivera,Los Angeles County,TRUE,Pacific,62942,62948,62953,63225,63452,63636,63696,63754,63542,63241,62888
California,Montebello,Los Angeles County,TRUE,Pacific,62500,62490,62495,62915,63150,63321,63380,63457,63226,62916,62632
Minnesota,Coon Rapids,Anoka County,FALSE,N/A,61476,61485,61538,61556,61957,62064,62163,62267,62381,62515,62527
Iowa,Council Bluffs,Pottawattamie County,FALSE,N/A,62230,62227,62375,62501,62143,62103,62390,62567,62490,62424,62421
California,La Habra,Orange County,TRUE,Pacific,60239,60264,60357,60922,61256,61527,61734,61804,61634,62230,62183
Ohio,Hamilton,Butler County,FALSE,N/A,62477,62272,62329,62306,62213,62281,62398,62332,62244,62135,62174
Oklahoma,Moore,Cleveland County,FALSE,N/A,55081,55083,55396,56706,57840,58358,59018,60170,61081,61588,62103
California,Petaluma,Sonoma County,TRUE,Pacific,57941,57938,58008,58200,58692,59306,59725,60287,60486,60708,61917
Florida,Doral,Miami-Dade County,TRUE,Atlantic,45704,45709,45951,47494,48355,50552,54177,56075,58360,60933,61824
Idaho,Idaho Falls,Bonneville County,FALSE,N/A,56813,57130,57289,57808,58155,58338,58630,59192,60160,61164,61535
California,National City,San Diego County,TRUE,Pacific,58582,58560,58626,59045,59384,59799,60168,60774,61038,61149,61431
Florida,Coconut Creek,Broward County,TRUE,Atlantic,52909,53037,53179,54318,55132,56930,58519,59211,59822,61066,61361
Utah,Millcreek,Salt Lake County,FALSE,N/A,(X),58739,58848,59387,59881,60285,60211,60186,60367,60768,61270
Minnesota,Burnsville,Dakota County,FALSE,N/A,60306,60286,60391,60645,60866,61148,61321,61216,61335,61464,61203
Michigan,Taylor,Wayne County,FALSE,N/A,63131,63131,62982,62626,62464,61960,62075,61771,61563,61373,61148
Massachusetts,Malden,Middlesex County,FALSE,N/A,59450,59416,59571,60004,60468,60817,61093,61258,61159,61071,61036
North Carolina,Chapel Hill,"Orange County, Chatham County, Durham County",FALSE,N/A,57233,57220,57402,57356,58649,58839,59096,59047,59688,58997,60988
Michigan,Novi,Oakland County,FALSE,N/A,55224,55232,55287,56050,57043,58127,58639,58925,59617,59985,60951
Georgia,Marietta,Cobb County,FALSE,N/A,56579,56594,56827,57471,58281,58937,59672,59973,60815,60789,60806
Indiana,Terre Haute,Vigo County,FALSE,N/A,60785,60785,60787,60973,61167,60903,60763,60561,60655,60816,60753
Washington,Lakewood,Pierce County,TRUE,Pacific,58163,57532,57598,57938,58108,58142,58582,58883,59741,60310,60538
California,Woodland,Yolo County,FALSE,N/A,55468,55553,55617,55787,56284,56731,57354,58378,59056,59877,60531
Florida,Ocala,Marion County,FALSE,N/A,56315,56566,56564,56705,56788,56808,57187,57744,58510,59155,60429
California,Monterey Park,Los Angeles County,TRUE,Pacific,60269,60226,60222,60471,60674,60840,60890,60989,60930,60769,60401
Utah,Taylorsville,Salt Lake County,FALSE,N/A,58652,58691,58760,59759,60240,60563,60396,60327,60407,60091,60192
California,Cupertino,Santa Clara County,TRUE,Pacific,58302,58572,58703,59189,59800,60238,60646,60571,60955,60621,60170
New York,Utica,Oneida County,FALSE,N/A,62235,62239,62206,62030,61883,61683,61297,60911,60616,60402,60100
Florida,Sanford,Seminole County,FALSE,N/A,53570,53910,53948,54351,54912,56260,57624,58251,58897,59437,60035
Connecticut,Bristol,Hartford County,FALSE,N/A,60477,60474,60478,60569,60635,60542,60576,60513,60289,60110,60032
California,Porterville,Tulare County,FALSE,N/A,54165,58152,58254,58626,58826,59038,59184,59952,59948,59989,59988
New Jersey,Vineland,Cumberland County,TRUE,Atlantic,60724,60737,60821,60984,60926,60879,60899,60606,60339,59972,59966
Kentucky,Owensboro,Daviess County,FALSE,N/A,57265,57454,57481,57733,58129,58341,58398,58999,59261,59518,59809
Michigan,Pontiac,Oakland County,FALSE,N/A,59515,59631,59623,59844,60235,60388,60408,60198,60154,60053,59772
California,Gardena,Los Angeles County,TRUE,Pacific,58829,58829,58837,59124,59392,59826,59895,60014,59961,59957,59721
California,La Mesa,San Diego County,TRUE,Pacific,57065,57012,57146,57644,58112,58582,58892,59754,59824,59796,59556
Connecticut,Meriden,New Haven County,TRUE,Atlantic,60868,60841,60849,60714,60687,60510,60409,60089,59734,59663,59540
