State,City,County,Coastal,Region,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
Arizona,Avondale,Maricopa County,FALSE,N/A,76238,76132,76234,77280,78736,79778,80772,81976,83347,84807,85835
California,Lake Forest,Orange County,TRUE,Pacific,77264,77448,77558,78308,78756,79156,79740,82051,83135,83996,85623
Minnesota,Bloomington,Hennepin County,FALSE,N/A,82893,82893,83037,83931,84868,85089,85068,85219,85495,85615,85578
Texas,Bryan,Brazos County,FALSE,N/A,76201,76226,76519,77171,77820,78931,80674,82124,83357,84346,85445
California,Newport Beach,Orange County,TRUE,Pacific,85186,85222,85343,86094,86565,86940,86773,86697,86647,85876,85326
California,Hemet,Riverside County,FALSE,N/A,78657,78627,79087,80222,81039,81743,82578,83351,84175,84848,85275
New Jersey,Clifton,Passaic County,FALSE,N/A,84136,84117,84172,84692,84709,84923,85177,85232,85141,85144,85273
Alabama,Hoover,Jefferson County,FALSE,N/A,81619,80621,80751,81291,82617,83247,83661,84242,84546,84862,85108
Florida,Largo,Pinellas County,TRUE,Gulf of Mexico,77648,79358,79291,79387,79646,80332,80761,81834,84046,84642,84996
Indiana,Bloomington,Monroe County,FALSE,N/A,80405,80314,80630,81505,82169,82476,83184,83601,84396,84896,84981
Texas,Mission,Hidalgo County,FALSE,N/A,77058,77690,78130,79796,81064,81711,82482,83246,83788,84185,84827
Connecticut,Danbury,Fairfield County,TRUE,Atlantic,80893,80907,81324,82096,82793,83606,83722,84252,84995,84680,84730
California,Alhambra,Los Angeles County,TRUE,Pacific,83089,83118,83163,83607,84157,84395,84865,84950,85358,85014,84649
New Mexico,Santa Fe,Santa Fe County,FALSE,N/A,67947,80878,81025,81836,82325,82822,83058,83395,83811,84256,84612
Texas,New Braunfels,"Comal County, Guadalupe County",FALSE,N/A,57740,57677,58059,59311,60875,63005,65890,70118,73343,78928,84612
Georgia,Johns Creek,Fulton County,FALSE,N/A,76728,76640,77091,79216,81856,82467,82762,82985,83914,84232,84310
